[[-1, 5, -1], [6, 8, 7], [-1, -1, 0]]
[[-1, 5, -1], [6, 8, 0], [-1, -1, 7]]
[[-1, 5, -1], [6, 8, 7], [-1, 0, -1]]
[[-1, 5, 0], [6, 8, -1], [-1, -1, 7]]
[[-1, 5, -1], [6, 8, 7], [-1, -1, 0]]
[[-1, 5, -1], [6, 0, 8], [-1, -1, 7]]
[[-1, 5, -1], [6, 0, 7], [-1, 8, -1]]
[[-1, 5, -1], [6, 8, 7], [0, -1, -1]]
[[-1, 5, -1], [6, 8, 7], [-1, -1, 0]]
[[-1, 5, -1], [6, 8, 0], [-1, -1, 7]]
[[-1, 0, 5], [6, 8, -1], [-1, -1, 7]]
[[-1, 0, -1], [6, 5, 8], [-1, -1, 7]]
[[-1, 5, -1], [6, -1, 8], [-1, 0, 7]]
[[-1, 5, -1], [0, 6, 8], [-1, -1, 7]]
[[-1, 5, -1], [6, 8, 0], [-1, -1, 7]]
[[-1, 5, -1], [6, 0, 8], [-1, -1, 7]]
[[-1, 5, -1], [6, -1, 8], [0, -1, 7]]
[[-1, 5, -1], [6, -1, 8], [-1, 7, 0]]
[[-1, 5, -1], [6, -1, 0], [-1, 7, 8]]
[[-1, 5, -1], [6, -1, 8], [-1, 0, 7]]
[[-1, 5, 0], [6, -1, -1], [-1, 7, 8]]
[[-1, 5, -1], [6, -1, 8], [-1, 7, 0]]
[[-1, 5, -1], [6, 0, -1], [-1, 7, 8]]
[[-1, 0, -1], [6, 5, 7], [-1, 8, -1]]
[[-1, 5, -1], [6, 8, 7], [-1, 0, -1]]
[[-1, 5, -1], [0, 6, 7], [-1, 8, -1]]
[[-1, 5, -1], [6, 7, 0], [-1, 8, -1]]
[[-1, 5, 0], [6, 7, -1], [-1, 8, -1]]
[[-1, 5, -1], [6, 7, -1], [-1, 8, 0]]
[[-1, 5, -1], [6, 0, 7], [-1, 8, -1]]
[[-1, 5, -1], [6, 7, 0], [-1, 8, -1]]
[[-1, 5, -1], [6, 7, -1], [-1, 0, 8]]
[[-1, 5, -1], [6, 0, 8], [-1, -1, 7]]
[[0, -1, -1], [6, 5, 8], [-1, -1, 7]]
[[-1, -1, 0], [6, 5, 8], [-1, -1, 7]]
[[-1, -1, 8], [6, 5, 0], [-1, -1, 7]]
[[-1, 0, -1], [6, 5, 8], [-1, -1, 7]]
